Article_ID,Nombre_Mots,Nombre_Références,Nombre_Citations
1,30,1,1
2,9,1,1
3,8,1,1
4,7,1,1
5,22,1,1
6,45,1,1
7,40,1,1
8,35,1,1
9,38,1,1
10,28,1,1
11,30,1,1
12,31,1,1
13,44,1,1
14,37,1,1
15,31,1,1
16,45,1,1
17,39,1,1
18,36,1,1
19,32,1,1
20,64,1,1
21,31,1,1
22,8,1,1
23,23,1,1
24,57,1,1
25,22,1,1
26,21,1,1
27,36,1,1
28,35,1,1
29,34,1,1
30,39,1,1
31,52,1,1
32,50,1,1
33,7,1,1
34,10,1,1
35,7,1,1
36,43,1,1
37,36,1,1
38,44,1,1
39,50,1,1
40,33,1,1
41,38,1,1
42,19,1,1
43,21,1,1
44,63,1,1
45,64,1,1
46,31,1,1
47,59,1,1
48,27,1,1
49,12,1,1
50,61,1,1
51,31,1,1
52,43,1,1
53,45,1,1
54,48,1,1
55,36,1,1
56,13,1,1
57,63,1,1
58,26,1,1
59,12,1,1
60,47,1,1
61,42,1,1
62,36,1,1
63,25,1,1
64,40,1,1
